study_hours_per_week,attendance_rate,previous_gpa,sleep_hours,parental_support,extracurricular,part_time_job,gender,final_score
11.2,84.4,2.77,8.6,Low,No,No,Female,89.9
5.8,77.7,2.67,7.9,Medium,No,No,Female,91.3
13.0,80.9,3.22,9.6,Medium,No,Yes,Male,94.1
13.8,91.3,3.13,5.0,Medium,No,No,Male,100.0
2.2,85.0,2.3,6.7,Medium,No,No,Female,80.6
4.8,88.4,3.56,6.4,High,No,Yes,Male,86.2
10.5,91.7,2.95,4.4,Medium,No,No,Male,95.3
8.7,81.3,2.44,8.4,Medium,Yes,Yes,Male,94.6
9.9,92.6,3.59,6.6,Medium,Yes,No,Male,100.0
6.6,88.8,3.31,8.0,Medium,No,No,Male,99.6
13.5,72.7,2.37,10.0,High,No,No,Female,100.0
13.1,99.4,3.89,6.5,Low,No,No,Male,100.0
10.3,80.0,3.33,6.5,Medium,Yes,No,Female,87.0
14.5,68.4,2.99,7.2,Medium,Yes,Yes,Male,94.8
11.9,74.5,3.8,8.3,High,No,No,Female,100.0
6.6,74.8,3.08,6.3,Medium,No,No,Male,79.8
11.5,,2.99,6.2,Medium,Yes,Yes,Female,95.8
6.2,82.3,2.67,8.4,High,No,No,Female,91.3
13.5,81.6,3.29,7.5,High,No,Yes,Female,100.0
9.8,91.2,3.24,4.3,Medium,No,No,Male,93.2
9.3,88.4,3.01,5.4,High,Yes,No,Female,95.6
7.3,88.2,2.61,9.0,Medium,No,No,Male,88.8
14.9,89.1,3.06,7.5,Medium,No,No,Male,100.0
9.4,91.2,2.97,6.0,High,No,Yes,Male,95.9
8.3,63.9,2.33,6.8,Medium,Yes,No,Female,90.8
8.6,81.4,2.26,7.0,Medium,No,Yes,Female,82.8
12.1,63.2,3.28,8.0,High,No,Yes,Female,98.4
11.5,85.4,1.7,5.2,High,Yes,No,Female,96.2
11.7,85.0,3.1,5.9,High,No,No,Male,99.9
11.7,95.5,2.76,7.4,Medium,No,No,Male,100.0
18.6,96.9,3.65,6.9,High,No,Yes,Male,100.0
8.4,87.0,2.75,7.7,Low,Yes,No,Male,95.5
8.0,80.0,3.33,5.4,Medium,No,Yes,Female,90.7
6.7,89.9,2.8,7.5,Medium,Yes,Yes,Female,92.8
12.5,,3.06,8.4,High,No,No,Female,100.0
14.5,,3.37,7.6,High,No,Yes,Female,100.0
9.5,94.9,2.77,7.2,Medium,Yes,Yes,Female,100.0
6.6,79.4,3.5,6.9,Medium,Yes,No,Female,96.7
6.7,93.1,2.5,5.9,Medium,Yes,No,Male,84.8
12.6,91.8,3.15,6.9,Medium,No,Yes,Female,100.0
13.0,75.5,3.46,8.6,Medium,No,No,Female,89.7
12.2,94.7,3.33,6.8,Low,No,Yes,Female,96.9
7.3,92.0,3.96,5.8,Medium,Yes,No,Female,100.0
10.9,86.0,2.62,6.4,High,Yes,Yes,Female,97.4
10.5,77.4,2.31,7.3,Medium,Yes,Yes,Female,91.8
10.9,76.4,2.5,6.5,High,No,No,Male,80.4
13.5,79.6,3.33,7.6,Medium,No,Yes,Male,100.0
10.9,90.4,3.25,7.7,Medium,No,Yes,Female,100.0
12.7,75.4,3.05,8.2,Low,Yes,Yes,Female,98.1
10.3,89.4,2.44,8.9,Medium,No,No,Male,98.7
11.2,72.6,3.38,8.3,Medium,Yes,No,Male,98.0
12.5,83.0,2.39,5.8,Medium,No,No,Female,94.7
4.2,86.1,3.58,5.8,Low,No,No,Female,78.8
8.7,100.0,4.0,6.9,Medium,No,No,Male,100.0
8.1,71.2,3.18,6.4,Medium,No,No,Female,83.9
7.4,99.7,3.29,5.5,Medium,Yes,No,Male,88.0
8.9,86.5,2.75,6.4,Low,No,No,Male,84.5
16.0,89.1,2.09,6.4,Medium,Yes,No,Female,100.0
6.5,86.2,2.7,6.1,Medium,No,No,Female,86.5
13.9,89.4,2.45,6.6,Medium,Yes,Yes,Female,100.0
